Product ID,Product Name,Category,MRP (Maximum Retail Price),Selling Price,Discount Offered (%),Units Sold,Profit Margin (%),Region,Season,Customer Segment,Return Rate (%),Date of Sale
PROD00001,Doloribus Shirt,Grocery,13718.44,11290.83,17.7,24,25.35,North,Festive,Low Income,7.69,2024-12-21
PROD00002,Eveniet Jeans,Apparel,20368.8,19264.56,5.42,19,13.38,North,Festive,Low Income,14.85,2024-06-11
PROD00003,Corporis Snack,Electronics,45913.02,38374.52,16.42,15,12.61,South,Non-Festive,Mid Income,7.61,2025-03-03
PROD00004,Amet Laptop,Electronics,34235.37,22478.1,34.34,23,27.8,West Bengal,Festive,Mid Income,2.17,2024-08-10
PROD00005,Neque Rice,Apparel,1403.3,1032.64,26.41,22,29.98,North,Festive,Low Income,6.52,2024-05-23
PROD00006,Delectus Snack,Apparel,45993.73,31958.84,30.51,26,10.7,North,Festive,High Income,5.53,2025-02-21
PROD00007,Quae Shoes,Electronics,36045.46,34040.67,5.56,23,10.43,Tamil Nadu,Festive,Mid Income,14.33,2024-12-08
PROD00008,A Mixer,Apparel,24679.42,14474.71,41.35,19,8.7,West,Festive,High Income,14.25,2024-05-11
PROD00009,Optio Snack,Electronics,23204.46,12734.76,45.12,26,12.32,Karnataka,Festive,High Income,1.08,2024-10-17
PROD00010,Ut Jeans,Apparel,46665.84,43274.4,7.27,24,17.41,Karnataka,Festive,High Income,3.5,2024-05-29
PROD00011,Non Rice,Grocery,27545.41,18921.81,31.31,21,5.12,Delhi,Festive,Mid Income,6.87,2024-06-24
PROD00012,Modi TV,Grocery,25188.54,22294.82,11.49,19,11.02,Central,Festive,Low Income,8.54,2025-04-29
PROD00013,Aspernatur Oil,Electronics,38753.76,35221.87,9.11,23,26.46,Maharashtra,Festive,Low Income,2.84,2024-06-28
PROD00014,Consequuntur Shoes,Electronics,29696.47,26659.0,10.23,17,8.1,Tamil Nadu,Festive,Mid Income,8.78,2024-08-19
PROD00015,Minus Snack,Electronics,12518.15,9255.17,26.07,24,25.95,West,Non-Festive,Mid Income,3.05,2025-03-22
PROD00016,Eos Phone,Electronics,49944.07,27821.34,44.3,24,19.0,Central,Festive,High Income,6.32,2024-09-10
PROD00017,Delectus Shirt,Grocery,14110.9,8335.28,40.93,28,11.63,Tamil Nadu,Festive,High Income,7.85,2025-03-18
PROD00018,Sunt Snack,Electronics,34188.01,31737.01,7.17,18,16.4,Central,Non-Festive,High Income,14.63,2024-12-23
PROD00019,Nihil Snack,Grocery,24537.82,18281.66,25.5,20,9.27,West,Festive,Mid Income,1.03,2025-03-26
PROD00020,Accusamus TV,Grocery,6179.51,5713.31,7.54,17,19.9,Maharashtra,Non-Festive,Low Income,13.89,2025-01-26
PROD00021,Rerum Shoes,Apparel,47953.05,37450.17,21.9,14,7.04,West Bengal,Festive,Low Income,2.04,2025-03-01
PROD00022,Occaecati Shirt,Grocery,16852.93,12112.83,28.13,24,20.28,West,Non-Festive,Low Income,1.45,2025-04-13
PROD00023,Quos Shoes,Electronics,32885.15,19540.7,40.58,13,16.88,West Bengal,Festive,Mid Income,4.41,2024-06-14
PROD00024,Autem Oil,Grocery,36911.58,21015.53,43.07,14,5.03,North,Festive,High Income,8.45,2024-06-13
PROD00025,Impedit Oil,Apparel,19796.32,19522.14,1.38,19,28.23,Karnataka,Non-Festive,Low Income,6.24,2024-10-05
PROD00026,Quas Snack,Apparel,13110.81,8592.72,34.46,26,5.74,West Bengal,Festive,High Income,7.84,2024-09-03
PROD00027,Enim Oil,Grocery,3039.26,2415.97,20.51,11,26.3,Central,Festive,Low Income,11.68,2024-12-31
PROD00028,Animi Phone,Apparel,47583.07,35807.36,24.75,26,11.38,South,Non-Festive,High Income,12.46,2025-04-15
PROD00029,Harum Phone,Grocery,29145.85,25912.95,11.09,31,29.55,West,Non-Festive,Low Income,14.44,2024-07-04
PROD00030,Fuga Oil,Grocery,35848.94,35234.67,1.71,19,29.99,South,Festive,Low Income,13.89,2024-08-14
PROD00031,Minus Rice,Grocery,23495.72,13681.67,41.77,26,10.83,West Bengal,Non-Festive,Mid Income,2.87,2025-03-01
PROD00032,Sequi Rice,Grocery,11737.09,10383.64,11.53,29,11.3,Karnataka,Non-Festive,Low Income,10.74,2025-04-16
