Transaction ID,Product Name,Category,Units Sold,Unit Price,Total Revenue,Discount Applied,Store Location,Channel,Date of Sale,Day,Month,Year,Weather,Holiday
T00001,Tool Z,Tools,15,53.86,807.9,10%,Bengaluru,Online,2022-03-17,17,March,2022,Windy,No
T00002,Widget B,Home Appliances,10,4231.45,42314.5,5%,Chennai,Online,2022-09-15,15,September,2022,Cloudy,No
T00003,Gadget Y,Toys,9,1980.69,17826.21,15%,Delhi,Online,2022-01-10,10,January,2022,Windy,Yes
T00004,Widget B,Home Appliances,13,4765.48,61951.24,0%,Hyderabad,Online,2022-02-11,11,February,2022,Windy,No
T00005,Device M,Groceries,13,3500.76,45509.88,20%,Mumbai,Online,2024-04-18,18,April,2024,Cloudy,Yes
T00006,Tool Z,Home Appliances,6,2318.73,13912.38,5%,Pune,Offline,2024-04-18,18,April,2024,Cloudy,No
T00007,Device M,Toys,1,2572.68,2572.68,20%,Chennai,Offline,2024-12-14,14,December,2024,Foggy,Yes
T00008,Gadget X,Tools,7,3219.91,22539.37,10%,Delhi,Offline,2024-04-08,8,April,2024,Foggy,No
T00009,Gadget X,Home Appliances,5,950.71,4753.55,0%,Bengaluru,Offline,2023-03-27,27,March,2023,Sunny,Yes
T00010,Widget A,Groceries,3,1471.32,4413.96,20%,Kolkata,Online,2024-11-10,10,November,2024,Windy,Yes
T00011,Widget A,Groceries,5,1681.2,8406.0,15%,Ahmedabad,Offline,2023-03-27,27,March,2023,Cloudy,Yes
T00012,Device M,Groceries,13,2466.32,32062.16,15%,Ahmedabad,Online,2022-01-11,11,January,2022,Cloudy,Yes
T00013,Tool Z,Groceries,18,3477.65,62597.7,0%,Hyderabad,Offline,2024-01-17,17,January,2024,Windy,Yes
T00014,Gadget X,Tools,1,4978.29,4978.29,10%,Hyderabad,Online,2022-02-05,5,February,2022,Rainy,No
T00015,Widget A,Tools,13,169.82,2207.66,5%,Pune,Online,2023-06-01,1,June,2023,Sunny,No
T00016,Gadget Y,Toys,4,1817.73,7270.92,20%,Bengaluru,Offline,2022-02-25,25,February,2022,Cloudy,No
T00017,Device M,Toys,15,4709.42,70641.3,15%,Hyderabad,Offline,2024-06-02,2,June,2024,Foggy,No
T00018,Gadget X,Toys,16,2468.76,39500.16,10%,Kolkata,Offline,2022-04-05,5,April,2022,Sunny,Yes
T00019,Gadget X,Toys,10,3334.32,33343.2,20%,Kolkata,Online,2023-03-09,9,March,2023,Cloudy,Yes
T00020,Gadget Y,Electronics,10,4480.31,44803.1,5%,Bengaluru,Offline,2023-05-06,6,May,2023,Rainy,Yes
T00021,Device M,Toys,13,2256.2,29330.6,0%,Kolkata,Online,2024-10-26,26,October,2024,Foggy,Yes
T00022,Device M,Electronics,6,1921.67,11530.02,10%,Pune,Online,2022-12-31,31,December,2022,Foggy,No
T00023,Widget A,Home Appliances,7,202.9,1420.3,20%,Bengaluru,Online,2023-08-03,3,August,2023,Sunny,Yes
T00024,Tool Z,Toys,19,3089.47,58699.93,5%,Hyderabad,Online,2024-06-18,18,June,2024,Rainy,Yes
T00025,Device M,Groceries,1,3062.02,3062.02,10%,Mumbai,Online,2022-10-22,22,October,2022,Rainy,No
T00026,Gadget X,Toys,19,1549.43,29439.17,5%,Chennai,Online,2022-11-08,8,November,2022,Foggy,Yes
T00027,Widget B,Tools,4,3393.47,13573.88,5%,Pune,Online,2024-10-17,17,October,2024,Rainy,No
T00028,Gadget X,Electronics,15,4563.17,68447.55,15%,Bengaluru,Online,2022-03-25,25,March,2022,Foggy,No
T00029,Tool Z,Toys,15,4229.71,63445.65,20%,Ahmedabad,Online,2023-08-22,22,August,2023,Foggy,No
T00030,Gadget Y,Toys,18,3953.71,71166.78,15%,Pune,Online,2024-10-15,15,October,2024,Rainy,Yes
T00031,Tool Z,Toys,16,1525.74,24411.84,5%,Chennai,Online,2022-05-30,30,May,2022,Windy,Yes
T00032,Gadget Y,Groceries,11,1202.25,13224.75,5%,Kolkata,Online,2022-05-07,7,May,2022,Cloudy,Yes
T00033,Widget A,Tools,2,2919.55,5839.1,5%,Kolkata,Online,2022-08-11,11,August,2022,Rainy,Yes
